央视(江西电信),#genre#
CCTV3, http://yuwentao114.f3322.net:4022/rtp/239.252.219.252:5140
CCTV3, http://yuwentao114.f3322.net:4022/rtp/239.252.220.193:5140
CCTV4, http://yuwentao114.f3322.net:4022/rtp/239.252.220.184:5140
CCTV5, http://yuwentao114.f3322.net:4022/rtp/239.252.219.198:5140
CCTV6, http://yuwentao114.f3322.net:4022/rtp/239.252.220.195:5140
CCTV8, http://yuwentao114.f3322.net:4022/rtp/239.252.220.196:5140
CCTV5, http://yuwentao114.f3322.net:4022/rtp/239.252.219.236:5140
CCTV6, http://yuwentao114.f3322.net:4022/rtp/239.252.219.237:5140
CCTV7, http://yuwentao114.f3322.net:4022/rtp/239.252.220.185:5140
CCTV8, http://yuwentao114.f3322.net:4022/rtp/239.252.219.253:5140
CCTV9, http://yuwentao114.f3322.net:4022/rtp/239.252.220.186:5140
CCTV10, http://yuwentao114.f3322.net:4022/rtp/239.252.220.91:5140
CCTV11, http://yuwentao114.f3322.net:4022/rtp/239.252.219.16:5140
CCTV12, http://yuwentao114.f3322.net:4022/rtp/239.252.220.187:5140
CCTV13, http://yuwentao114.f3322.net:4022/rtp/239.252.219.18:5140
CCTV14, http://yuwentao114.f3322.net:4022/rtp/239.252.220.92:5140
CCTV15, http://yuwentao114.f3322.net:4022/rtp/239.252.219.20:5140
CCTV17, http://yuwentao114.f3322.net:4022/rtp/239.252.220.192:5140
CCTV4欧洲, http://yuwentao114.f3322.net:4022/rtp/239.252.219.192:5140
CCTV4美洲, http://yuwentao114.f3322.net:4022/rtp/239.252.219.193:5140
CGTN, http://yuwentao114.f3322.net:4022/rtp/239.252.220.150:5140
CGTV英语, http://yuwentao114.f3322.net:4022/rtp/239.252.219.194:5140
CGTN英文纪录, http://yuwentao114.f3322.net:4022/rtp/239.252.219.195:5140
CGTN西班牙语, http://yuwentao114.f3322.net:4022/rtp/239.252.219.196:5140
CGTN法语, http://yuwentao114.f3322.net:4022/rtp/239.252.219.65:5140
CGTN阿拉伯语, http://yuwentao114.f3322.net:4022/rtp/239.252.219.66:5140
CGTN俄语, http://yuwentao114.f3322.net:4022/rtp/239.252.219.67:5140
CCTV4欧洲,rtsp://115.153.233.154/PLTV/88888888/224/3221226964/77799053.smil#http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8
CCTV4美洲,rtsp://115.153.233.154/PLTV/88888888/224/3221226962/77799052.smil#http://117.148.179.160/PLTV/88888888/224/3221231654/index.m3u8
CCTV5+,rtsp://115.153.233.154/PLTV/88888888/224/3221226976/85722488.smil#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225706/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225649/index.m3u8#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204503.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8#http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8#http://117.148.179.139/PLTV/88888888/224/3221231535/index.m3u8
CCTV-4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
纯享4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8#http://39.135.32.28:6610/PLTV/77777777/224/3221225726/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
CCTV-电视指南,rtsp://115.153.233.154/PLTV/88888888/224/3221226987/86440886.smil#rtsp://115.153.233.154/PLTV/88888888/224/3221226969/86129034.smil#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2012514003.m3u8
CCTV-风云音乐,http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2012514103.m3u8
CCTV-怀旧剧场,rtsp://115.153.233.154/PLTV/88888888/224/3221226996/86128881.smil#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2012511203.m3u8#http://117.148.179.147/PLTV/88888888/224/3221231544/index.m3u8#http://117.148.179.158/PLTV/88888888/224/3221231544/index.m3u8 
