省台(江西电信),#genre#
贵州卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221226833/59814738.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221226833/59814738.smil?#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225483/index.m3u8?fmt=ts2hls#http://39.135.140.227:6610/PLTV/88888888/224/3221225483/2/index.m3u8?fmt=ts2hls#http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2000293303.m3u8#http://117.148.179.160/PLTV/88888888/224/3221231676/index.m3u8
辽宁卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221226649/46098370.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221226649/46098370.smil?#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225696/index.m3u8#http://39.134.19.2/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226210/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225696/index.m3u8#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2000281303.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226210/index.m3u8#http://117.148.179.152/PLTV/88888888/224/3221231802/index.m3u8
重庆卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221226638/51813388.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221226638/51813388.smil?#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225692/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225692/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225692/index.m3u8#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2000297803.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8#http://117.148.179.155/PLTV/88888888/224/3221231508/index.m3u8
黑龙江卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225584/10000100000000060000000000031778_0.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221225584/10000100000000060000000000031778_0.smil?#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225690/index.m3u8#http://39.134.19.8/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225690/index.m3u8#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2000293903.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8#http://117.148.179.141/PLTV/88888888/224/3221231967/index.m3u8#http://117.148.179.162/PLTV/88888888/224/3221231520/index.m3u8 
吉林卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221226831/59814731.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221226831/59814731.smil?#http://39.134.65.177/PLTV/88888888/224/3221225872/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8#http://117.148.179.164/PLTV/88888888/224/3221231472/index.m3u8
厦门卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221226982/85722609.smil#http://117.148.179.134/PLTV/88888888/224/3221229184/index.m3u8
青海卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225589/iptv7985.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221225589/iptv7985.smil?#http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8#http://117.148.179.151/PLTV/88888888/224/3221231435/index.m3u8
西藏卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225570/iptv101725.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221225570/iptv101725.smil?#http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8#http://117.148.179.162/PLTV/88888888/224/3221231558/index.m3u8
新疆卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225550/iptv61197.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221225550/iptv61197.smil?#http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8#http://117.148.179.183/PLTV/88888888/224/3221231451/index.m3u8
甘肃卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221227039/87447727.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221225749/iptv101672.smil?#http://39.134.115.163:8080/PLTV/88888910/224/3221225724/index.m3u8#http://117.148.179.158/PLTV/88888888/224/3221231393/index.m3u8
内蒙古卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225591/iptv7986.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221225591/iptv7986.smil?#http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8#http://117.148.179.151/PLTV/88888888/224/3221231478/index.m3u8
宁夏卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225747/iptv101619.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221225747/iptv101619.smil?#http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8#http://117.148.179.160/PLTV/88888888/224/3221231441/index.m3u8
南方卫视,http://117.148.179.160/PLTV/88888888/224/3221231661/index.m3u8
山西卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225551/iptv7966.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221225551/iptv7966.smil?#http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8#http://117.148.179.169/PLTV/88888888/224/3221231444/index.m3u8
陕西卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225755/iptv101726.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221225755/iptv101726.smil?#http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8#http://117.148.179.156/PLTV/88888888/224/3221231408/index.m3u8
兵团卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225753/iptv101723.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221225753/iptv101723.smil?#http://117.148.179.162/PLTV/88888888/224/3221231469/index.m3u8
三沙卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221226984/85722645.smil#http://pull2.ssws.tv/live/SswsTV20210803.m3u8
延边卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226201/index.m3u8
湖南卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.201:5140
浙江卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.210:5140
江苏卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.214:5140
东方卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.229:5140
北京卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.206:5140
